taxid	Domain	Phylum	Class	Order	Family	Genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Dethiosulfatibacteraceae;Dethiosulfatibacter	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
Bacteria;Bacteroidota;Bacteroidia;ML602M-17;NA;NA	Bacteria	Bacteroidota	Bacteroidia	ML602M-17	NA	NA
Bacteria;Fermentibacterota;Fermentibacteria;Fermentibacterales;Fermentibacteraceae;NA	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	NA
Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Prosthecochloris	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;Candidatus Latescibacter	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus Latescibacter
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfocurvus	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfocurvus
Bacteria;Planctomycetota;Phycisphaerae;Pla1 lineage;NA;NA	Bacteria	Planctomycetota	Phycisphaerae	Pla1 lineage	NA	NA
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Marinifilum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
Bacteria;Latescibacterota;NA;NA;NA;NA	Bacteria	Latescibacterota	NA	NA	NA	NA
Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;MSBL8;NA	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP-SRB1	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;uncultured	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	uncultured
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Incertae Sedis	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Incertae Sedis
Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured
Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;NA;NA	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	NA	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacula	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula
Bacteria;Planctomycetota;Pla4 lineage;NA;NA;NA	Bacteria	Planctomycetota	Pla4 lineage	NA	NA	NA
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitalea	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea
Bacteria;Sva0485;NA;NA;NA;NA	Bacteria	Sva0485	NA	NA	NA	NA
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Acetivibrio	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Acetivibrio
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;livecontrolB21	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	livecontrolB21
Bacteria;Caldatribacteriota;JS1;NA;NA;NA	Bacteria	Caldatribacteriota	JS1	NA	NA	NA
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;JTB215	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	JTB215
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;NA	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	NA
Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;RBG-16-49-21	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	RBG-16-49-21
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Phaeochromatium	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Phaeochromatium
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5	NA
Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	uncultured
Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;uncultured	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoconvexum	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoconvexum
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA
Bacteria;Planctomycetota;Phycisphaerae;mle1-8;NA;NA	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	NA	NA
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloceanibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;NA	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	NA
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;NA	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA
Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;EBM-39	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	EBM-39
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans
Bacteria;Verrucomicrobiota;Chlamydiae;LD1-PA32;NA;NA	Bacteria	Verrucomicrobiota	Chlamydiae	LD1-PA32	NA	NA
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
Bacteria;NB1-j;NA;NA;NA;NA	Bacteria	NB1-j	NA	NA	NA	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus
Bacteria;Desulfobacterota;Syntrophia;Syntrophales;uncultured;NA	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	uncultured	NA
Bacteria;Planctomycetota;Planctomycetes;uncultured;NA;NA	Bacteria	Planctomycetota	Planctomycetes	uncultured	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;SBYC-2600;NA	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	SBYC-2600	NA
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;NA	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	NA
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;uncultured	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	uncultured
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;uncultured	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	uncultured
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;SM23-31	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	SM23-31
Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peribacteria;NA;NA	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peribacteria	NA	NA
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Ruminiclostridium	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium
Bacteria;Firmicutes;uncultured;NA;NA;NA	Bacteria	Firmicutes	uncultured	NA	NA	NA
Bacteria;Verrucomicrobiota;Lentisphaeria;Oligosphaerales;Lenti-02;NA	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;NA	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	NA
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfurivibrionaceae;MSBL7	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	MSBL7
Bacteria;SAR324 clade(Marine group B);NA;NA;NA;NA	Bacteria	SAR324 clade(Marine group B)	NA	NA	NA	NA
Bacteria;Elusimicrobiota;Endomicrobia;Endomicrobiales;Endomicrobiaceae;Endomicrobium	Bacteria	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Desulfuromusa	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Desulfuromusa
Bacteria;Myxococcota;Polyangia;VHS-B3-70;NA;NA	Bacteria	Myxococcota	Polyangia	VHS-B3-70	NA	NA
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Amnipila	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Amnipila
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfocapsa	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsa
Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SM23-30;NA	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SM23-30	NA
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Sva1033;NA	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Sva1033	NA
Bacteria;MBNT15;NA;NA;NA;NA	Bacteria	MBNT15	NA	NA	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Haloimpatiens	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Haloimpatiens
Bacteria;Desulfobacterota;Syntrophia;Syntrophales;NA;NA	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	NA	NA
Bacteria;Verrucomicrobiota;Lentisphaeria;P.palmC41;NA;NA	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41	NA	NA
Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76-B128	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;uncultured	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	uncultured
Bacteria;LCP-89;NA;NA;NA;NA	Bacteria	LCP-89	NA	NA	NA	NA
Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;NA	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;uncultured;NA	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	uncultured	NA
Bacteria;Planctomycetota;Phycisphaerae;MSBL9;L21-RPul-D3;NA	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	L21-RPul-D3	NA
Bacteria;Marinimicrobia (SAR406 clade);NA;NA;NA;NA	Bacteria	Marinimicrobia (SAR406 clade)	NA	NA	NA	NA
Bacteria;Planctomycetota;OM190;NA;NA;NA	Bacteria	Planctomycetota	OM190	NA	NA	NA
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;GWE2-31-10	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	GWE2-31-10
Bacteria;Modulibacteria;Moduliflexia;Moduliflexales;Moduliflexaceae;NA	Bacteria	Modulibacteria	Moduliflexia	Moduliflexales	Moduliflexaceae	NA
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;uncultured;NA	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	uncultured	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina
Bacteria;Schekmanbacteria;NA;NA;NA;NA	Bacteria	Schekmanbacteria	NA	NA	NA	NA
Bacteria;Zixibacteria;NA;NA;NA;NA	Bacteria	Zixibacteria	NA	NA	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Geofilum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Geofilum
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Alkalispirochaeta	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Algorimarina	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Algorimarina
Bacteria;Bacteroidota;Kryptonia;Kryptoniales;MSB-3C8;NA	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	MSB-3C8	NA
Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Carboxylicivirga	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas
Bacteria;PAUC34f;NA;NA;NA;NA	Bacteria	PAUC34f	NA	NA	NA	NA
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;UCG-012	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	UCG-012
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Anaerophaga	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Anaerophaga
Bacteria;WS2;NA;NA;NA;NA	Bacteria	WS2	NA	NA	NA	NA
Bacteria;Chloroflexi;Dehalococcoidia;MSBL5;NA;NA	Bacteria	Chloroflexi	Dehalococcoidia	MSBL5	NA	NA
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32
Bacteria;Sumerlaeota;Sumerlaeia;uncultured;NA;NA	Bacteria	Sumerlaeota	Sumerlaeia	uncultured	NA	NA
Bacteria;Margulisbacteria;NA;NA;NA;NA	Bacteria	Margulisbacteria	NA	NA	NA	NA
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group;NA	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	NA
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Cylindrospermopsis CRJ1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Cylindrospermopsis CRJ1
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured
Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;NA;NA	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA
Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;NA;NA	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA
Bacteria;Planctomycetota;vadinHA49;NA;NA;NA	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA
Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;NA	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfatirhabdium	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatirhabdium
Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	uncultured
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;uncultured	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	uncultured
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Mangroviflexus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria
Bacteria;Acetothermia;Acetothermiia;NA;NA;NA	Bacteria	Acetothermia	Acetothermiia	NA	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	uncultured
Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;NA;NA	Bacteria	Proteobacteria	Gammaproteobacteria	uncultured	NA	NA
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Caldithrix	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfohalobiaceae	Desulfovermiculus
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 23
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitaleaceae UCG-011	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae UCG-011
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ADurb.Bin408;NA	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	ADurb.Bin408	NA
Bacteria;Myxococcota;Polyangia;Polyangiales;Phaselicystidaceae;Phaselicystis	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis
Bacteria;Myxococcota;Polyangia;PS-B29;NA;NA	Bacteria	Myxococcota	Polyangia	PS-B29	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiogranum	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum
Bacteria;Chloroflexi;Anaerolineae;SBR1031;NA;NA	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group
Bacteria;Patescibacteria;Dojkabacteria;NA;NA;NA	Bacteria	Patescibacteria	Dojkabacteria	NA	NA	NA
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Labilibacter	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Dethiosulfovibrio	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Dethiosulfovibrio
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Yoonia-Loktanella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;Gottschalkia	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	Gottschalkia
Bacteria;Firmicutes;Clostridia;Clostridiales;uncultured;NA	Bacteria	Firmicutes	Clostridia	Clostridiales	uncultured	NA
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfatitalea	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea
